record_date,tax_deposit_type,tax_deposit_type_desc,tax_deposit_today_amt,tax_deposit_mtd_amt,tax_deposit_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-15,Cash Federal Tax Deposits,Through Depositaries,23273,121289,777185,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,15
2016-01-15,Inter-agency Transfers,null,827,4462,28006,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,15
2016-01-19,Withheld Income and Employment Taxes,null,26291,131060,693377,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,19
2016-01-19,Individual Income Taxes,null,1107,11666,20631,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,19
2016-01-19,Railroad Retirement Taxes,null,66,280,1639,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,19
2016-01-19,Excise Taxes,null,33,3274,22458,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,19
2016-01-19,Corporation Income Taxes,null,157,8061,102723,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,19
2016-01-19,Federal Unemployment Taxes,null,32,208,1000,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,19
2016-01-19,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,18,304,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,19
2016-01-19,Cash Federal Tax Deposits,Direct,57,1186,9311,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,19
2016-01-19,Cash Federal Tax Deposits,Through Depositaries,26793,148081,803977,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,19
2016-01-19,Inter-agency Transfers,null,838,5300,28844,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,19
2016-01-20,Withheld Income and Employment Taxes,null,3743,134803,697120,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,20
2016-01-20,Individual Income Taxes,null,155,11821,20786,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,20
2016-01-20,Railroad Retirement Taxes,null,7,288,1647,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,20
2016-01-20,Excise Taxes,null,39,3313,22498,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,20
2016-01-20,Corporation Income Taxes,null,40,8101,102764,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,20
2016-01-20,Federal Unemployment Taxes,null,48,255,1047,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,20
2016-01-20,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,19,305,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,20
2016-01-20,Cash Federal Tax Deposits,Direct,127,1313,9438,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,20
2016-01-20,Cash Federal Tax Deposits,Through Depositaries,3897,151979,807875,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,20
2016-01-20,Inter-agency Transfers,null,10,5310,28854,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,20
2016-01-21,Withheld Income and Employment Taxes,null,9811,144615,706932,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,21
2016-01-21,Individual Income Taxes,null,85,11906,20870,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,21
2016-01-21,Railroad Retirement Taxes,null,10,298,1657,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,21
2016-01-21,Excise Taxes,null,13,3326,22510,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,21
2016-01-21,Corporation Income Taxes,null,29,8130,102792,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,21
2016-01-21,Federal Unemployment Taxes,null,20,275,1067,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,21
2016-01-21,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,20,306,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,21
2016-01-21,Cash Federal Tax Deposits,Direct,121,1434,9559,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,21
2016-01-21,Cash Federal Tax Deposits,Through Depositaries,9017,160996,816892,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,21
2016-01-21,Inter-agency Transfers,null,830,6139,29683,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,21
2016-01-22,Withheld Income and Employment Taxes,null,6000,150615,712932,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,22
2016-01-22,Individual Income Taxes,null,71,11977,20942,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,22
2016-01-22,Railroad Retirement Taxes,null,17,314,1673,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,22
2016-01-22,Excise Taxes,null,36,3362,22547,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,22
2016-01-22,Corporation Income Taxes,null,301,8431,103094,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,22
2016-01-22,Federal Unemployment Taxes,null,33,308,1100,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,22
2016-01-22,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,22,307,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,22
2016-01-22,Cash Federal Tax Deposits,Direct,44,1478,9603,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,22
2016-01-22,Cash Federal Tax Deposits,Through Depositaries,6351,167347,823243,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,22
2016-01-22,Inter-agency Transfers,null,65,6204,29748,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,22
2016-01-25,Withheld Income and Employment Taxes,null,15104,165719,728036,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,25
2016-01-25,Individual Income Taxes,null,140,12118,21082,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,25
2016-01-25,Railroad Retirement Taxes,null,72,387,1746,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,25
2016-01-25,Excise Taxes,null,190,3552,22736,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,25
2016-01-25,Corporation Income Taxes,null,90,8521,103184,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,25
2016-01-25,Federal Unemployment Taxes,null,40,348,1140,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,25
2016-01-25,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,23,308,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,25
2016-01-25,Cash Federal Tax Deposits,Direct,56,1534,9659,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,25
2016-01-25,Cash Federal Tax Deposits,Through Depositaries,15571,182918,838814,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,25
2016-01-25,Inter-agency Transfers,null,10,6215,29758,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,25
2016-01-26,Withheld Income and Employment Taxes,null,2368,168087,730404,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,26
2016-01-26,Individual Income Taxes,null,71,12188,21152,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,26
2016-01-26,Railroad Retirement Taxes,null,12,399,1758,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,26
2016-01-26,Excise Taxes,null,42,3594,22778,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,26
2016-01-26,Corporation Income Taxes,null,168,8690,103352,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,26
2016-01-26,Federal Unemployment Taxes,null,35,382,1175,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,26
2016-01-26,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,27,312,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,26
2016-01-26,Cash Federal Tax Deposits,Direct,65,1599,9724,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,26
2016-01-26,Cash Federal Tax Deposits,Through Depositaries,2611,185529,841425,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,26
2016-01-26,Inter-agency Transfers,null,23,6238,29782,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,26
2016-01-27,Federal Unemployment Taxes,null,59,442,1234,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,27
2016-01-27,Withheld Income and Employment Taxes,null,9978,178064,740381,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,27
2016-01-27,Individual Income Taxes,null,84,12273,21237,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,27
2016-01-27,Railroad Retirement Taxes,null,3,402,1761,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,27
2016-01-27,Excise Taxes,null,294,3888,23072,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,27
2016-01-27,Corporation Income Taxes,null,22,8711,103374,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,27
