record_date,tax_refund_type,tax_refund_type_desc,tax_refund_today_amt,tax_refund_mtd_amt,tax_refund_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-11,IRS Tax Refunds Individual,Checks,1,176,12030,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,11
2016-01-11,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,11
2016-01-12,IRS Tax Refunds Business,Checks,335,635,10429,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,12
2016-01-12,IRS Tax Refunds Business,EFT,11,245,5847,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,12
2016-01-12,IRS Tax Refunds Individual,Checks,3,179,12033,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,12
2016-01-12,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,12
2016-01-13,IRS Tax Refunds Business,Checks,12,647,10441,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,13
2016-01-13,IRS Tax Refunds Business,EFT,0,245,5847,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,13
2016-01-13,IRS Tax Refunds Individual,Checks,2,181,12035,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,13
2016-01-13,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,13
2016-01-14,IRS Tax Refunds Business,Checks,13,660,10455,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,14
2016-01-14,IRS Tax Refunds Business,EFT,-14,231,5834,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,14
2016-01-14,IRS Tax Refunds Individual,Checks,10,191,12045,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,14
2016-01-14,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,14
2016-01-15,IRS Tax Refunds Business,Checks,20,679,10474,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,15
2016-01-15,IRS Tax Refunds Business,EFT,0,231,5834,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,15
2016-01-15,IRS Tax Refunds Individual,Checks,16,207,12061,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,15
2016-01-15,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,15
2016-01-19,IRS Tax Refunds Business,Checks,286,965,10760,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,19
2016-01-19,IRS Tax Refunds Business,EFT,1,233,5835,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,19
2016-01-19,IRS Tax Refunds Individual,Checks,13,220,12074,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,19
2016-01-19,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,19
2016-01-20,IRS Tax Refunds Business,Checks,14,980,10774,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,20
2016-01-20,IRS Tax Refunds Business,EFT,86,543,6146,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,20
2016-01-20,IRS Tax Refunds Individual,Checks,7,227,12081,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,20
2016-01-20,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,20
2016-01-21,IRS Tax Refunds Business,Checks,3,982,10777,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,21
2016-01-21,IRS Tax Refunds Business,EFT,50,593,6195,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,21
2016-01-21,IRS Tax Refunds Individual,Checks,5,232,12086,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,21
2016-01-21,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,21
2016-01-22,IRS Tax Refunds Business,Checks,2,984,10778,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,22
2016-01-22,IRS Tax Refunds Business,EFT,5,598,6200,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,22
2016-01-22,IRS Tax Refunds Individual,Checks,6,238,12092,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,22
2016-01-22,IRS Tax Refunds Individual,EFT,0,70,8121,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,22
2016-01-25,IRS Tax Refunds Business,Checks,32,1016,10810,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,25
2016-01-25,IRS Tax Refunds Business,EFT,69,667,6269,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,25
2016-01-25,IRS Tax Refunds Individual,Checks,21,259,12113,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,25
2016-01-25,IRS Tax Refunds Individual,EFT,2,72,8123,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,25
2016-01-26,IRS Tax Refunds Business,Checks,10,1026,10821,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,26
2016-01-26,IRS Tax Refunds Business,EFT,127,804,6406,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,26
2016-01-26,IRS Tax Refunds Individual,Checks,0,259,12113,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,26
2016-01-26,IRS Tax Refunds Individual,EFT,0,72,8123,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,26
2016-01-27,IRS Tax Refunds Business,Checks,41,1067,10861,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,27
2016-01-27,IRS Tax Refunds Business,EFT,40,844,6446,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,27
2016-01-27,IRS Tax Refunds Individual,Checks,0,259,12113,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,27
2016-01-27,IRS Tax Refunds Individual,EFT,0,72,8123,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,27
2016-01-28,IRS Tax Refunds Business,Checks,175,1242,11036,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,28
2016-01-28,IRS Tax Refunds Business,EFT,373,1217,6819,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,28
2016-01-28,IRS Tax Refunds Individual,Checks,16,274,12128,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,28
2016-01-28,IRS Tax Refunds Individual,EFT,0,72,8123,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,28
2016-01-29,IRS Tax Refunds Business,Checks,290,1531,11326,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,01,29
2016-01-29,IRS Tax Refunds Business,EFT,215,1431,7034,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,01,29
2016-01-29,IRS Tax Refunds Individual,Checks,12,286,12140,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,01,29
2016-01-29,IRS Tax Refunds Individual,EFT,997,1069,9120,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,01,29
2016-02-01,IRS Tax Refunds Business,Checks,35,35,11361,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,01
2016-02-01,IRS Tax Refunds Business,EFT,109,109,7143,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,01
2016-02-01,IRS Tax Refunds Individual,Checks,7,7,12148,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,01
2016-02-01,IRS Tax Refunds Individual,EFT,299,299,9419,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,01
2016-02-02,IRS Tax Refunds Business,Checks,29,63,11389,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,02
2016-02-02,IRS Tax Refunds Business,EFT,540,649,7683,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,02
2016-02-02,IRS Tax Refunds Individual,Checks,6,13,12153,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,02
2016-02-02,IRS Tax Refunds Individual,EFT,220,519,9639,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,02
2016-02-03,IRS Tax Refunds Business,Checks,0,63,11389,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,03
2016-02-03,IRS Tax Refunds Business,EFT,312,961,7995,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,03
2016-02-03,IRS Tax Refunds Individual,Checks,21,34,12175,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,03
2016-02-03,IRS Tax Refunds Individual,EFT,6014,6533,15653,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,03
2016-02-04,IRS Tax Refunds Business,Checks,20,84,11410,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,04
2016-02-04,IRS Tax Refunds Business,EFT,315,1276,8309,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,04
2016-02-04,IRS Tax Refunds Individual,Checks,18,52,12193,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,04
2016-02-04,IRS Tax Refunds Individual,EFT,-6,6527,15647,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,04
2016-02-05,IRS Tax Refunds Business,EFT,63,1339,8372,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,05
2016-02-05,IRS Tax Refunds Individual,Checks,981,1033,13174,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,05
2016-02-05,IRS Tax Refunds Business,Checks,22,106,11432,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,05
2016-02-05,IRS Tax Refunds Individual,EFT,4795,11317,20438,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,05
2016-02-08,IRS Tax Refunds Business,Checks,73,179,11505,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,08
2016-02-08,IRS Tax Refunds Business,EFT,46,1384,8418,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,08
2016-02-08,IRS Tax Refunds Individual,Checks,7,1040,13181,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,08
2016-02-08,IRS Tax Refunds Individual,EFT,3009,14326,23446,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,08
2016-02-09,IRS Tax Refunds Business,Checks,1546,1724,13050,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,09
2016-02-09,IRS Tax Refunds Business,EFT,375,1759,8793,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,09
2016-02-09,IRS Tax Refunds Individual,Checks,345,1385,13526,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,09
2016-02-09,IRS Tax Refunds Individual,EFT,-9,14317,23437,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,09
2016-02-10,IRS Tax Refunds Business,Checks,198,1923,13249,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,10
2016-02-10,IRS Tax Refunds Business,EFT,194,1954,8988,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,10
2016-02-10,IRS Tax Refunds Individual,Checks,206,1591,13732,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,10
2016-02-10,IRS Tax Refunds Individual,EFT,40263,54579,63700,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,10
2016-02-11,IRS Tax Refunds Business,Checks,12,1934,13260,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,11
2016-02-11,IRS Tax Refunds Business,EFT,38,1992,9026,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,11
2016-02-11,IRS Tax Refunds Individual,Checks,25,1616,13757,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,11
2016-02-11,IRS Tax Refunds Individual,EFT,79,54627,63748,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,11
2016-02-12,IRS Tax Refunds Business,Checks,98,2032,13358,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,12
2016-02-12,IRS Tax Refunds Business,EFT,83,2075,9109,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,12
2016-02-12,IRS Tax Refunds Individual,Checks,1845,3461,15601,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,12
2016-02-12,IRS Tax Refunds Individual,EFT,6141,60729,69850,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,12
2016-02-16,IRS Tax Refunds Business,Checks,1644,3676,15002,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,16
2016-02-16,IRS Tax Refunds Business,EFT,489,2564,9598,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,16
2016-02-16,IRS Tax Refunds Individual,Checks,35,3496,15636,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,16
2016-02-16,IRS Tax Refunds Individual,EFT,3637,64359,73479,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,16
2016-02-17,IRS Tax Refunds Business,Checks,122,3797,15123,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,17
2016-02-17,IRS Tax Refunds Business,EFT,0,2564,9598,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,17
2016-02-17,IRS Tax Refunds Individual,Checks,422,3917,16058,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,17
2016-02-17,IRS Tax Refunds Individual,EFT,1981,66334,75454,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,17
2016-02-18,IRS Tax Refunds Business,EFT,10,2574,9608,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,18
2016-02-18,IRS Tax Refunds Business,Checks,38,3836,15162,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,18
2016-02-18,IRS Tax Refunds Individual,Checks,307,4225,16365,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,18
2016-02-18,IRS Tax Refunds Individual,EFT,19284,85610,94730,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,18
2016-02-19,IRS Tax Refunds Business,Checks,185,4020,15346,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,19
2016-02-19,IRS Tax Refunds Business,EFT,218,2792,9826,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,19
2016-02-19,IRS Tax Refunds Individual,Checks,189,4414,16554,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,19
2016-02-19,IRS Tax Refunds Individual,EFT,1674,87267,96387,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,19
2016-02-22,IRS Tax Refunds Business,Checks,134,4155,15481,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,22
2016-02-22,IRS Tax Refunds Business,EFT,701,3493,10526,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,22
2016-02-22,IRS Tax Refunds Individual,Checks,1252,5666,17806,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,22
2016-02-22,IRS Tax Refunds Individual,EFT,4390,91637,100757,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,22
2016-02-23,IRS Tax Refunds Business,Checks,752,4907,16233,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,23
2016-02-23,IRS Tax Refunds Business,EFT,183,3676,10710,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,23
2016-02-23,IRS Tax Refunds Individual,Checks,189,5855,17996,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,23
2016-02-23,IRS Tax Refunds Individual,EFT,4478,96110,105231,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,23
2016-02-24,IRS Tax Refunds Business,Checks,50,4957,16283,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,24
2016-02-24,IRS Tax Refunds Business,EFT,0,3676,10710,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,24
2016-02-24,IRS Tax Refunds Individual,Checks,433,6288,18429,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,24
2016-02-24,IRS Tax Refunds Individual,EFT,13559,109657,118778,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,24
2016-02-25,IRS Tax Refunds Business,Checks,19,4976,16302,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,25
2016-02-25,IRS Tax Refunds Business,EFT,52,3724,10757,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,25
2016-02-25,IRS Tax Refunds Individual,Checks,416,6704,18845,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,25
2016-02-25,IRS Tax Refunds Individual,EFT,1707,111320,120441,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,25
2016-02-26,IRS Tax Refunds Business,Checks,35,5011,16336,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,26
2016-02-26,IRS Tax Refunds Business,EFT,28,3752,10786,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,26
2016-02-26,IRS Tax Refunds Individual,Checks,1198,7902,20042,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,26
2016-02-26,IRS Tax Refunds Individual,EFT,2482,113786,122907,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,26
2016-02-29,IRS Tax Refunds Business,Checks,303,5314,16640,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,02,29
2016-02-29,IRS Tax Refunds Business,EFT,78,3830,10863,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,02,29
2016-02-29,IRS Tax Refunds Individual,Checks,212,8114,20255,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,02,29
2016-02-29,IRS Tax Refunds Individual,EFT,2781,116561,125682,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,02,29
2016-03-01,IRS Tax Refunds Business,Checks,452,452,17092,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,01
2016-03-01,IRS Tax Refunds Business,EFT,16,16,10880,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,01
2016-03-01,IRS Tax Refunds Individual,Checks,323,323,20578,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,01
2016-03-01,IRS Tax Refunds Individual,EFT,2090,2090,127772,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,01
2016-03-02,IRS Tax Refunds Business,Checks,129,581,17221,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,02
2016-03-02,IRS Tax Refunds Business,EFT,138,154,11018,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,02
2016-03-02,IRS Tax Refunds Individual,Checks,332,655,20909,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,02
2016-03-02,IRS Tax Refunds Individual,EFT,10230,12303,137984,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,02
2016-03-03,IRS Tax Refunds Business,Checks,34,616,17255,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,03
2016-03-03,IRS Tax Refunds Business,EFT,76,230,11094,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,03
2016-03-03,IRS Tax Refunds Individual,Checks,283,937,21192,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,03
2016-03-03,IRS Tax Refunds Individual,EFT,1424,13715,139397,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,03
2016-03-04,IRS Tax Refunds Business,Checks,5,621,17260,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,04
2016-03-04,IRS Tax Refunds Business,EFT,50,280,11144,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,04
2016-03-04,IRS Tax Refunds Individual,Checks,1222,2159,22414,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,04
2016-03-04,IRS Tax Refunds Individual,EFT,2534,16234,141916,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,04
2016-03-07,IRS Tax Refunds Business,Checks,28,648,17288,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,07
2016-03-07,IRS Tax Refunds Business,EFT,42,323,11186,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,07
2016-03-07,IRS Tax Refunds Individual,Checks,237,2396,22651,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,07
2016-03-07,IRS Tax Refunds Individual,EFT,2280,18509,144191,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,07
2016-03-08,IRS Tax Refunds Business,Checks,397,1045,17685,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,08
2016-03-08,IRS Tax Refunds Business,EFT,172,495,11358,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,08
2016-03-08,IRS Tax Refunds Individual,Checks,388,2784,23039,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,08
2016-03-08,IRS Tax Refunds Individual,EFT,1493,20002,145684,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,08
2016-03-09,IRS Tax Refunds Business,Checks,42,1087,17727,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,09
2016-03-09,IRS Tax Refunds Business,EFT,108,603,11466,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,09
2016-03-09,IRS Tax Refunds Individual,Checks,315,3099,23354,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,09
2016-03-09,IRS Tax Refunds Individual,EFT,8062,28059,153740,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,09
2016-03-10,IRS Tax Refunds Business,Checks,161,1248,17888,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,10
2016-03-10,IRS Tax Refunds Business,EFT,23,612,11475,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,10
2016-03-10,IRS Tax Refunds Individual,Checks,291,3390,23644,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,10
2016-03-10,IRS Tax Refunds Individual,EFT,1217,29264,154946,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,10
2016-03-11,IRS Tax Refunds Business,Checks,51,1300,17939,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,11
2016-03-11,IRS Tax Refunds Business,EFT,121,733,11596,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,11
2016-03-11,IRS Tax Refunds Individual,Checks,1271,4661,24915,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,11
2016-03-11,IRS Tax Refunds Individual,EFT,2155,31406,157088,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,11
2016-03-14,IRS Tax Refunds Business,Checks,356,1656,18295,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,14
2016-03-14,IRS Tax Refunds Business,EFT,83,816,11680,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,14
2016-03-14,IRS Tax Refunds Individual,Checks,232,4893,25148,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,14
2016-03-14,IRS Tax Refunds Individual,EFT,1975,33376,159058,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,14
2016-03-15,IRS Tax Refunds Business,Checks,1381,3036,19676,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,15
2016-03-15,IRS Tax Refunds Business,EFT,55,871,11734,VI,Income Tax Refunds Issued,Classification,2,2016,2,2016,1,03,15
2016-03-15,IRS Tax Refunds Individual,Checks,390,5283,25538,VI,Income Tax Refunds Issued,Classification,3,2016,2,2016,1,03,15
2016-03-15,IRS Tax Refunds Individual,EFT,1312,34689,160370,VI,Income Tax Refunds Issued,Classification,4,2016,2,2016,1,03,15
2016-03-16,IRS Tax Refunds Business,Checks,25,3062,19701,VI,Income Tax Refunds Issued,Classification,1,2016,2,2016,1,03,16
